Update  585/2441 | Step 1,198,080 | Episodes 12308 | FPS   2335 | Mean reward     22.4 | LR 2.28e-04 | Time    513s
Update  590/2441 | Step 1,208,320 | Episodes 12352 | FPS   2335 | Mean reward      4.9 | LR 2.27e-04 | Time    517s
Update  595/2441 | Step 1,218,560 | Episodes 12396 | FPS   2335 | Mean reward      6.3 | LR 2.27e-04 | Time    522s
Update  600/2441 | Step 1,228,800 | Episodes 12430 | FPS   2335 | Mean reward     25.4 | LR 2.26e-04 | Time    526s
   ->  Model saved to checkpoints/ant_ppo_1228800.pt
Update  605/2441 | Step 1,239,040 | Episodes 12465 | FPS   2335 | Mean reward     17.5 | LR 2.26e-04 | Time    531s
Update  610/2441 | Step 1,249,280 | Episodes 12532 | FPS   2335 | Mean reward     10.8 | LR 2.25e-04 | Time    535s
Update  615/2441 | Step 1,259,520 | Episodes 12582 | FPS   2334 | Mean reward     16.0 | LR 2.24e-04 | Time    540s
Update  620/2441 | Step 1,269,760 | Episodes 12630 | FPS   2334 | Mean reward     12.7 | LR 2.24e-04 | Time    544s
Update  625/2441 | Step 1,280,000 | Episodes 12665 | FPS   2334 | Mean reward      1.8 | LR 2.23e-04 | Time    548s
Update  630/2441 | Step 1,290,240 | Episodes 12694 | FPS   2334 | Mean reward      5.5 | LR 2.23e-04 | Time    553s
Update  635/2441 | Step 1,300,480 | Episodes 12729 | FPS   2333 | Mean reward     10.1 | LR 2.22e-04 | Time    557s
Update  640/2441 | Step 1,310,720 | Episodes 12760 | FPS   2332 | Mean reward      1.9 | LR 2.21e-04 | Time    562s
Update  645/2441 | Step 1,320,960 | Episodes 12789 | FPS   2330 | Mean reward     42.5 | LR 2.21e-04 | Time    567s
Update  650/2441 | Step 1,331,200 | Episodes 12812 | FPS   2329 | Mean reward     64.3 | LR 2.20e-04 | Time    572s
   ->  Model saved to checkpoints/ant_ppo_1331200.pt
Update  655/2441 | Step 1,341,440 | Episodes 12841 | FPS   2328 | Mean reward     40.4 | LR 2.20e-04 | Time    576s
Update  660/2441 | Step 1,351,680 | Episodes 12868 | FPS   2320 | Mean reward     54.0 | LR 2.19e-04 | Time    583s
Update  665/2441 | Step 1,361,920 | Episodes 12912 | FPS   2312 | Mean reward     24.9 | LR 2.18e-04 | Time    589s
Update  670/2441 | Step 1,372,160 | Episodes 12941 | FPS   2297 | Mean reward     34.7 | LR 2.18e-04 | Time    597s
Update  675/2441 | Step 1,382,400 | Episodes 12984 | FPS   2277 | Mean reward     26.5 | LR 2.17e-04 | Time    607s
Update  680/2441 | Step 1,392,640 | Episodes 13013 | FPS   2257 | Mean reward     18.7 | LR 2.16e-04 | Time    617s
Update  685/2441 | Step 1,402,880 | Episodes 13034 | FPS   2252 | Mean reward     53.8 | LR 2.16e-04 | Time    623s
Update  690/2441 | Step 1,413,120 | Episodes 13054 | FPS   2250 | Mean reward     79.0 | LR 2.15e-04 | Time    628s
Update  695/2441 | Step 1,423,360 | Episodes 13082 | FPS   2248 | Mean reward     29.6 | LR 2.15e-04 | Time    633s
Update  700/2441 | Step 1,433,600 | Episodes 13106 | FPS   2246 | Mean reward     33.1 | LR 2.14e-04 | Time    638s
   ->  Model saved to checkpoints/ant_ppo_1433600.pt
Update  705/2441 | Step 1,443,840 | Episodes 13131 | FPS   2243 | Mean reward     55.9 | LR 2.13e-04 | Time    644s
Update  710/2441 | Step 1,454,080 | Episodes 13156 | FPS   2240 | Mean reward     49.2 | LR 2.13e-04 | Time    649s
Update  715/2441 | Step 1,464,320 | Episodes 13179 | FPS   2239 | Mean reward     41.9 | LR 2.12e-04 | Time    654s
Update  720/2441 | Step 1,474,560 | Episodes 13208 | FPS   2239 | Mean reward     32.5 | LR 2.12e-04 | Time    659s
Update  725/2441 | Step 1,484,800 | Episodes 13238 | FPS   2240 | Mean reward     42.9 | LR 2.11e-04 | Time    663s
Update  730/2441 | Step 1,495,040 | Episodes 13269 | FPS   2240 | Mean reward     34.7 | LR 2.10e-04 | Time    667s
Update  735/2441 | Step 1,505,280 | Episodes 13290 | FPS   2241 | Mean reward     60.5 | LR 2.10e-04 | Time    672s
